year;type;order;country;artist;title;language;position;score;maxpoints;voters
2013;finals;7;Estonia;Birgit;"""Et uus saaks alguse""";Estonian;20;19;12;39
2013;finals;8;Belarus;Alyona Lanskaya;"""Solayoh""";English;16;48;12;39
2013;finals;9;Malta;Gianluca;"""Tomorrow""";English;8;120;12;39
2013;finals;10;Russia;Dina Garipova;"""What If""";English;5;174;12;39
2013;finals;11;Germany;Cascada;"""Glorious""";English;21;18;12;39
2013;finals;12;Armenia;Dorians;"""Lonely Planet""";English;18;41;12;39
2013;finals;13;Netherlands;Anouk;"""Birds""";English;9;114;12;39
2013;finals;14;Romania;Cezar;"""It's My Life""";English;13;65;12;39
2013;finals;15;United Kingdom;Bonnie Tyler;"""Believe in Me""";English;19;23;12;39
2013;finals;16;Sweden;Robin Stjernberg;"""You""";English;14;62;12;39
2013;finals;17;Hungary;ByeAlex;"""Kedvesem"" (Zoohacker Remix)";Hungarian;10;84;12;39
2013;finals;18;Denmark;Emmelie de Forest;"""Only Teardrops""";English;1;281;12;39
2013;finals;19;Iceland;Eythor Ingi;"""Ég á líf""";Icelandic;17;47;12;39
2013;finals;20;Azerbaijan;Farid Mammadov;"""Hold Me""";English;2;234;12;39
2013;finals;21;Greece;Koza Mostra feat. Agathon Iakovidis;"""Alcohol Is Free""";Greek;6;152;12;39
2013;finals;22;Ukraine;Zlata Ognevich;"""Gravity""";English;3;214;12;39
2013;finals;23;Italy;Marco Mengoni;"""L'essenziale""";Italian;7;126;12;39
2013;finals;24;Norway;Margaret Berger;"""I Feed You My Love""";English;4;191;12;39
2013;finals;25;Georgia;Nodi Tatishvili and Sophie Gelovani;"""Waterfall""";English;15;50;12;39
2013;finals;26;Ireland;Ryan Dolan;"""Only Love Survives""";English;26;5;12;39
2012;semifinals 1;1;Montenegro;Rambo Amadeus;"""Euro Neuro""";English;15;20;12;21
2012;semifinals 1;2;Iceland;Greta Salóme and Jónsi;"""Never Forget""";English;8;75;12;21
2012;semifinals 1;3;Greece;Eleftheria Eleftheriou;"""Aphrodisiac""";English;4;116;12;21
2012;semifinals 1;4;Latvia;Anmary;"""Beautiful Song""";English;16;17;12;21
2012;semifinals 1;5;Albania;Rona Nishliu;"""Suus""3";Albanian;2;146;12;21
